id,sku,brand,name,is_for_sale,vis_retail,imgs
298527,KNP-12010500,Knapheide,"HARNESS, 17+ FORD C/C",t,t,0
298529,KNP-12014390,Knapheide,"LOOSE, RECEIVER HITCH KIT 18",t,t,0
298530,KNP-12015020,Knapheide,"HITCH, GOOSNECK 19+RAM",t,t,0
298534,KNP-12219432,Knapheide,"GLASS, KUV FRONT BODY",t,t,0
298536,KNP-12221479,Knapheide,"SEAL, DOOR PER FT",t,t,0
298537,KNP-12221958,Knapheide,"SEAL, DOOR PER FT",t,t,0
298538,KNP-12247300,Knapheide,"CAGE, LATCH NGL ROTARY ELOCK",t,t,0
298539,KNP-12247359,Knapheide,"KEY, ONE PLUS #",t,t,0
298540,KNP-12247730,Knapheide,BUSHING GUIDE ROD NXG,t,t,0
298541,KNP-12252722,Knapheide,"LIGHT, AMBER RECT LED",t,t,0
298543,KNP-12253548,Knapheide,"LIGHT, MARKER, RED",t,t,0
298727,KNP-12256319,Knapheide,"HARNESS, RR STROBE W/OSWITCH",t,t,0
298544,KNP-12256442,Knapheide,"LIGHT, STT W/ BACKUP",t,t,0
298545,KNP-12256459,Knapheide,"LIGHT, STT",t,t,0
298546,KNP-12256491,Knapheide,"LIGHT, NEW LED STT",t,t,0
298547,KNP-12270781,Knapheide,"HITCH, GOOSENECK 2500",t,t,0
298548,KNP-12270799,Knapheide,"HITCH, GOOSENECK 3500 RAM",t,t,1
298550,KNP-12315156,Knapheide,"PAINT, 11OZ AEROSOL",t,t,0
298551,KNP-12315172,Knapheide,"PAINT, 1/2OZ BRUSH",t,t,0
298552,KNP-12315735,Knapheide,"EMBLEM, KNAPHEIDE",t,t,0
326320,KNP-12321204,Knapheide,HARNESS - 7 PLUG PLATFORM - HALF OF COMPLETE SET,t,t,1
298553,KNP-20009670,Knapheide,"ADAPTER, 17OLD FORD 40/56CA",t,t,0
298554,KNP-20031880,Knapheide,"LIGHT KIT, KC SRW",t,t,0
298555,KNP-20039480,Knapheide,"LIGHT, LED 6 CIRCUIT FLUSH",t,t,0
298728,KNP-20046884,Knapheide,ALUM GRAB HANDLES,t,t,0
298730,KNP-20049557,Knapheide,"CABINET, 9 BIN",t,t,0
298731,KNP-20051510,Knapheide,INSTALL KIT 15+ GM 56CA,t,t,0
298557,KNP-20051520,Knapheide,INSTALL KIT 15+ GM 60CA,t,t,0
298558,KNP-20051530,Knapheide,INSTALL KIT 15+ GM 84CA,t,t,0
298559,KNP-20051550,Knapheide,INSTALL KIT 17+ FORD 56CA,t,t,0
298560,KNP-20051560,Knapheide,Vehicle-specific installation kit designed for 2017+ Ford F-Series trucks with 60CA configuration. Provides all necessary hardware and components for proper equipment mounting and integration.,t,t,0
298561,KNP-20051590,Knapheide,INSTALL KIT 15+ RAM 56CA,t,t,0
298732,KNP-20051600,Knapheide,INSTALL KIT 15+ RAM 60CA,t,t,0
298562,KNP-20063020,Knapheide,SIDE MOUNT SINGLE LADDER RACK,t,t,0
298563,KNP-20072732,Knapheide,"VISE BRACKET,",t,t,0
298733,KNP-20080172,Knapheide,TOOLBOX,t,t,0
298567,KNP-20094540,Knapheide,"KIT,QK MT FORD 56CA 2017+",t,t,0
298568,KNP-20094550,Knapheide,"INSTALL KIT, 2017+FORD 60/84",t,t,0
298569,KNP-20094580,Knapheide,"KIT, INSTALL 14+RAM 60/84",t,t,0
298575,KNP-20103480,Knapheide,"BUMPER, 78"" GALV W/ RECESS",t,t,0
298734,KNP-20103600,Knapheide,"BUMPER, GALVAGRIP BALL 89""",t,t,1
298576,KNP-20170494,Knapheide,DIVIDER FOR SHELF,t,t,0
326333,KNP-20195000,Knapheide,"BUMPER SB 78"" STEP LINED F&R",t,t,1
298736,KNP-20195110,Knapheide,"BUMPER, STEP 78""KNAPLINER",t,t,1
298579,KNP-20205160,Knapheide,"BUMPER, 78"" 20 GM OE HITCH",t,t,0
298580,KNP-20222750,Knapheide,"MOUNTING KIT, GM W/O H 2020-C",t,t,0
298581,KNP-20226000,Knapheide,INSTALLATION KIT,t,t,0
298582,KNP-20226010,Knapheide,"KIT, INSTALL 20 GM WITH HITCH",t,t,0
298583,KNP-20226020,Knapheide,INSTALLATION KIT,t,t,0
298584,KNP-20226030,Knapheide,"KIT, INST 20 GM56CA NO HITCH",t,t,0
298586,KNP-21-10-062-3,Knapheide,"MOUNTING KIT, 12"" TAILGATE",t,t,0
298737,KNP-21102876,Knapheide,LIGHT KIT,t,t,0
298587,KNP-21802160,Knapheide,mount kit,t,t,0
298588,KNP-25105974,Knapheide,SHOVEL BOX MOUNT KIT,t,t,0
298589,KNP-26053199,Knapheide,"83"" WIDE KNAPLINED GALVA-GRIP",t,t,0
298590,KNP-26053207,Knapheide,"94"" WIDE KNAPLINED GALVA-GRIP",t,f,0
326334,KNP-26053215,Knapheide,BUMPER SB 78 SRW KUV 07+RAM - OLD STYLE,t,t,1
298591,KNP-26053371,Knapheide,"BUMPER, STEP 78""KNAPLINER",t,t,0
298592,KNP-26053397,Knapheide,"BUMPER, STEP 94""KNAPLINER",t,t,1
298593,KNP-26058123,Knapheide,"BUMPER, STEP 94"" NOTCHED",t,t,0
298594,KNP-26102434,Knapheide,MOUNT KIT UNIV 56CA,t,t,0
298595,KNP-26102533,Knapheide,"HITCH, CLASS V RECEIVER",t,t,1
298596,KNP-26103523,Knapheide,"ADAPTER, WIRING 97 OLD FORD",t,t,0
298597,KNP-26203802,Knapheide,"MT KIT, GM",t,t,0
298598,KNP-26203810,Knapheide,MOUNT KIT RAM 03-13,t,t,0
298599,KNP-26208264,Knapheide,"SPRING, DOORKIT",t,t,0
298600,KNP-26226035,Knapheide,"MT KIT, RAM 14+",t,t,0
298601,KNP-26227868,Knapheide,LATCH,t,t,0
298602,KNP-26227876,Knapheide,"LATCH, KIT RVLS",t,t,0
298603,KNP-26230151,Knapheide,LED LIGHT KIT,t,t,0
298604,KNP-26259531,Knapheide,"KIT, REP NXG ROTARY LATCH",t,t,0
298606,KNP-26259937,Knapheide,"KIT, NXG LATCH KY2017",t,t,0
298607,KNP-26262667,Knapheide,"ADAPTER, 16+ GM",t,t,0
298608,KNP-26265918,Knapheide,LEFT WING FOR CAB GUARD,t,t,0
298609,KNP-26266098,Knapheide,RIGHT WING FOR CAB GUARD,t,t,0
298610,KNP-26266379,Knapheide,"CAB GUARD MODULAR 49"" UNIV",t,t,0
298611,KNP-26266494,Knapheide,LED LIGHT KIT,t,t,0
298612,KNP-26266577,Knapheide,"ADAPTER, 01-07 GM",t,t,0
298613,KNP-26266585,Knapheide,"ADAPTER, 07-14 GM",t,t,0
298614,KNP-26267948,Knapheide,"ADAPTER, WIRING 11+ FORD",t,t,0
298615,KNP-26267955,Knapheide,"ADAPTER, 15 GM",t,t,0
298616,KNP-26267963,Knapheide,"ADAPTER, 07+ RAM CHASSIS",t,t,0
298617,KNP-26267971,Knapheide,"ADAPTER, 03+ RAM PICKUP",t,t,0
298618,KNP-26278176,Knapheide,"LATCH, T-HANDLE",t,t,0
298687,KNP-32010166,Knapheide,STAKE RACK INSTALL KIT,t,t,0
298619,KNP-32439090,Knapheide,"MT KIT, 17+ FORD 60/84CA",t,t,0
298620,KNP-32450550,Knapheide,Superseded part number directing to updated mounting kit KNP32-45-055-0. This part has been replaced with the current version for improved compatibility.,t,t,0
298740,KNP-32492370,Knapheide,Universal mounting kit designed for Ford truck chassis applications. Provides secure attachment points for Knapheide truck bodies to Ford commercial vehicle platforms.,t,t,1
298622,KNP-33670260,Knapheide,BUMPER,t,t,0
298623,KNP-33764281,Knapheide,"HARNESS, WIRING GM",t,t,0
298624,KNP-33847560,Knapheide,"INTALL KIT, PGN",t,t,0
298625,KNP-33903923,Knapheide,PGN UNIVERSAL INSTALLATION,t,t,0
298627,KNP-33931779,Knapheide,"HITCH, 17+FORD",t,t,0
298631,KNP-34000948,Knapheide,"ADAPTER, 2020+FORD PU BED",t,t,0
298632,KNP-34030363,Knapheide,"HARNESS, 7WAY",t,t,0
298634,KNP-34087632,Knapheide,Light adapter specifically engineered for 2020 GMC trucks to ensure proper electrical integration. Enables seamless connection between GMC chassis lighting systems and aftermarket truck body equipment.,t,t,0
298635,KNP-34109178,Knapheide,"HITCH, RCVR 2020 GM",t,t,0
298636,KNP-34280900,Knapheide,"KIT, PUMP RESEVOIR",t,t,0
298638,KNP-34360468,Knapheide,KIT FUEL FILL 21-42 KNAP,t,t,0
298639,KNP-34537687,Knapheide,"Heavy-duty 21,000 lb capacity receiver hitch designed specifically for Knapheide 9' and 11' PGT service bodies. Provides secure towing capability for commercial work trucks with integrated mounting system.",t,t,1
298640,KNP-34568583,Knapheide,"MOUNT KIT, 17+FOR 60/80CA",t,t,0
298641,KNP-34568585,Knapheide,INSTALLATION KIT PGT MD,t,t,0
326335,KNP-34858011,Knapheide,BUMPER SB 94 PHR PRIME - NEW,t,t,1
298741,KNP-34860163,Knapheide,"78"" WIDE KNAPLINED GALVA-GRIP",t,t,1
298642,KNP-34860545,Knapheide,"94"" WIDE KNAPLINED GALVA-GRIP",t,t,0
298643,KNP-34860792,Knapheide,"94"" WIDE KNAPLINED GALVA-GRIP",t,t,0
298644,KNP-34861613,Knapheide,"78"" WIDE KNAPLINED GALVA-GRIP",t,t,1
298645,KNP-34861644,Knapheide,"78"" WIDE KNAPLINED GALVA-GRIP",t,t,1
298646,KNP-34861695,Knapheide,78-inch galvanized receiver-lined rear bumper specifically engineered for 2017+ Ford trucks with 56CA chassis. Features durable galvanized construction with integrated receiver mounting capability.,t,t,1
298647,KNP-34861872,Knapheide,94-inch wide galvanized grip-style rear bumper with receiver kit integration. Features textured galvanized surface for enhanced durability and includes complete receiver mounting hardware.,t,t,2
298742,KNP-34861873,Knapheide,94-inch wide galvanized grip-style rear bumper with receiver integration for 2017+ Ford 56CA and RAM 60-inch chassis applications. Combines durability with multi-vehicle compatibility.,t,t,2
