part_sku,part_name,group,families,rule,bodies_linked
KNP-12010500,"HARNESS, 17+ FORD C/C",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-12014390,"LOOSE, RECEIVER HITCH KIT 18",Bumpers & hitches,"service, kuv, platform, dump, landscape, gooseneck",receiver-hitch-named,57
KNP-12015020,"HITCH, GOOSNECK 19+RAM",Bumpers & hitches,gooseneck,pgt-pgn+receiver-hitch,14
KNP-12219432,"GLASS, KUV FRONT BODY",Glass & windows,kuv,kuv+glass,3
KNP-12221479,"SEAL, DOOR PER FT","Doors, latches & locks","service, kuv, mechanics, gooseneck",latches,36
KNP-12221958,"SEAL, DOOR PER FT","Doors, latches & locks","service, kuv, mechanics, gooseneck",latches,36
KNP-12247300,"CAGE, LATCH NGL ROTARY ELOCK","Doors, latches & locks","service, kuv, mechanics, gooseneck",latches,36
KNP-12247359,"KEY, ONE PLUS #","Doors, latches & locks","service, kuv, mechanics, gooseneck",latches,36
KNP-12247730,BUSHING GUIDE ROD NXG,"Doors, latches & locks","service, kuv, mechanics, gooseneck",latches,36
KNP-12252722,"LIGHT, AMBER RECT LED",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-12253548,"LIGHT, MARKER, RED",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-12256319,"HARNESS, RR STROBE W/OSWITCH",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-12256442,"LIGHT, STT W/ BACKUP",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-12256459,"LIGHT, STT",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-12256491,"LIGHT, NEW LED STT",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-12270781,"HITCH, GOOSENECK 2500",Bumpers & hitches,gooseneck,pgt-pgn+receiver-hitch,14
KNP-12270799,"HITCH, GOOSENECK 3500 RAM",Bumpers & hitches,gooseneck,pgt-pgn+receiver-hitch,14
KNP-12315156,"PAINT, 11OZ AEROSOL",Hardware & touch-up,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",hardware,60
KNP-12315172,"PAINT, 1/2OZ BRUSH",Hardware & touch-up,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",hardware,60
KNP-12315735,"EMBLEM, KNAPHEIDE",Hardware & touch-up,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",hardware,60
KNP-20009670,"ADAPTER, 17OLD FORD 40/56CA",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-20031880,"LIGHT KIT, KC SRW",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-20039480,"LIGHT, LED 6 CIRCUIT FLUSH",Lighting & wiring,"service, kuv, platform, gooseneck, landscape, dump, forestry, saw, mechanics",lighting,60
KNP-20046884,ALUM GRAB HANDLES,Toolboxes & storage,"service, kuv, mechanics, gooseneck",interior,36
KNP-20049557,"CABINET, 9 BIN",Toolboxes & storage,"service, kuv, mechanics, gooseneck",interior,36
KNP-20051510,INSTALL KIT 15+ GM 56CA,Mounting & installation kits,service,sb-install,18
KNP-20051520,INSTALL KIT 15+ GM 60CA,Mounting & installation kits,service,sb-install,18
KNP-20051530,INSTALL KIT 15+ GM 84CA,Mounting & installation kits,service,sb-install,18
KNP-20051550,INSTALL KIT 17+ FORD 56CA,Mounting & installation kits,service,sb-install,18
